	UMAP1_sc	UMAP2_sc	Clusters_sc	Cell_type_img	UMAP1_CP_sc	UMAP2_CP_sc	Clusters_CP_sc	UMAP1_bimodal_sc	UMAP2_bimodal_sc	Clusters_bimodal_sc
14_58	6.1435566	-0.8721651	1	Mouse	12.199552	-1.882121	0	-0.25867605	-3.4313946	1
14_59	9.744363	5.6306286	1	Mouse	12.234158	3.9482887	0	-3.3298204	-0.7411822	0
14_62	9.053521	4.8304825	1	Mouse	6.8001056	-2.2482886	1	-4.2431545	-1.1033671	6
14_63	8.779569	1.5249536	1	Mouse	10.758274	2.0765975	0	-2.7133434	3.5865731	2
14_64	10.185911	8.368569	2	Mouse	11.023498	0.9966005	0	-5.994544	-1.9598155	6
14_68	7.4482083	8.50463	2	Mouse	7.9994254	1.2606664	0	-4.8961077	-1.2544008	6
14_76	13.46223	5.8033442	2	Mouse	12.843466	-0.39461043	0	-3.4496539	0.40130976	0
14_77	9.236978	4.9284706	1	Mouse	11.530659	1.7803984	0	-1.1248522	2.8852599	2
14_79	-0.59909904	1.3419534	0	Mouse	11.174681	-0.62940425	0	-1.4696754	-2.4931388	1
14_90	14.123462	7.784991	2	Mouse	2.5063362	9.813415	2	3.3011134	-3.9851804	5
14_97	5.8911395	6.7916265	0	Mouse	10.448931	-2.079844	0	-4.0865088	-2.241136	6
14_107	9.61796	5.6367073	1	Undetermined_cells	-0.29263684	7.7794666	3	-0.23012799	-3.9677827	1
14_108	10.30157	1.7388963	1	Mouse	11.310556	4.7101192	0	-2.1243713	-4.056898	1
14_109	9.022166	6.4065557	2	Mouse	12.714895	5.951171	0	9.942709	2.3788774	7
14_110	3.3717365	6.7649817	0	Mouse	8.148414	-5.873963	1	-1.8230118	1.248984	4
15_2	1.8298477	2.6420248	0	Mouse	10.498218	-2.6438024	0	-3.9141316	-0.7505982	6
15_5	4.2377534	2.0732372	1	Mouse	9.195739	-1.3645787	0	-2.984057	3.3846738	2
15_14	-0.86321557	2.9791052	0	Human	-0.44724402	7.8599434	3	3.8533301	-2.3302944	5
15_16	10.101054	3.6302571	1	Mouse	4.0210767	8.729554	2	-0.7106409	-3.2297063	1
15_19	5.539032	-1.0209297	1	Mouse	6.0856915	-3.7341206	1	-3.2232232	-1.9269434	4
15_24	1.1049267	2.2781854	0	Mouse	12.113727	-0.9359745	0	-4.962728	-0.6176189	6
15_45	12.687901	3.4486213	1	Mouse	16.621851	5.063017	0	-3.0393207	-3.611968	1
15_46	13.333238	0.5193293	1	Undetermined_cells	4.4919286	8.226369	2	-0.8417407	-3.4664438	1
15_47	2.7126834	5.855947	0	Mouse	6.4038854	0.9326062	1	-0.07211869	-0.31060252	4
15_52	13.878505	8.974539	2	Mouse	16.676313	4.974352	0	-4.388954	-2.0913193	6
15_77	8.848002	1.3689197	1	Mouse	10.991357	5.1894226	0	-4.7788997	0.7100748	6
15_79	12.504726	2.0112066	1	Mouse	12.384173	5.6787443	0	-2.1332915	-1.3787688	0
15_86	-3.994802	3.6877534	0	Human	10.498188	1.8919544	0	2.5333586	2.1906075	3
15_93	11.379459	2.419218	1	Mouse	3.996646	6.3011236	2	-3.4988458	0.6854334	0
15_106	11.809036	0.55901724	1	Mouse	7.3806195	2.1311972	2	-3.9425106	-0.25935566	6
15_108	4.8930836	-1.3366472	1	Mouse	14.153345	4.8101735	0	-2.4286907	-1.1604102	0
15_109	6.6926403	6.8434367	1	Mouse	6.2549143	-4.3137255	1	-1.6435616	-0.559557	2
15_111	11.241059	2.6683369	1	Undetermined_cells	14.857885	1.1949582	0	2.3616984	-0.5898256	4
16_0	-2.1018307	3.1843626	0	Undetermined_cells	-1.6422511	6.444799	3	2.3513198	1.9633113	3
16_19	8.159825	5.8441243	1	Mouse	10.456441	4.4288135	0	-4.1031857	-1.3745837	6
16_39	-4.029899	3.7775376	0	Human	6.722066	3.6753573	2	2.7205005	1.9223664	3
16_40	7.275711	-0.37306207	1	Mouse	11.701509	-0.3926787	0	-1.7090107	3.3244293	2
16_45	10.988178	5.371257	1	Mouse	15.153835	1.0866113	0	1.3221318	-3.1618333	1
16_46	-2.1786017	3.6906736	0	Human	6.9291067	6.7045326	2	3.3927913	2.1727536	3
16_59	1.7359412	4.251967	0	Mouse	16.30308	4.4569464	0	0.42385566	-3.677554	1
16_61	13.066145	6.9911118	2	Mouse	11.192322	4.4565616	0	-4.791761	1.722253	2
16_64	12.41357	6.1364574	2	Mouse	10.771591	-2.0850859	0	-1.2532812	2.361195	2
16_78	5.0452557	1.8313345	1	Mouse	12.787817	6.2643433	0	-4.737193	-0.25941345	6
16_82	11.394647	4.95733	1	Mouse	12.319955	5.5335293	0	9.730203	1.8613722	7
16_88	5.2463484	7.961185	0	Mouse	10.203769	-2.1222017	1	-1.0282811	-1.5692363	0
16_95	1.4080173	3.1502776	0	Mouse	3.772468	6.534185	2	-3.9848688	-1.2968515	6
16_96	4.17231	7.4960575	0	Mouse	12.089168	6.520095	0	1.3141557	0.15008591	4
17_1	4.597611	4.308723	1	Mouse	10.471467	-3.287092	0	-1.2359929	-0.13627078	0
17_15	7.211334	3.9228058	1	Mouse	8.528707	-0.030159894	0	-2.9087932	2.0068903	2
17_29	9.608131	5.0054317	1	Mouse	10.333712	-0.90882325	0	2.3414142	-0.65659684	4
17_32	7.9380984	-1.4542149	1	Mouse	7.1964602	2.691873	0	1.1296164	-1.2580782	4
17_33	14.370485	8.173105	2	Mouse	11.789856	6.8163795	0	1.9258657	-0.012348388	4
17_37	7.9807787	-0.64719105	1	Mouse	14.001951	5.542238	0	-1.458131	-1.0689938	6
